file,category,source,group_id,frame_id,source_x,source_y,width,height
01_battle_backgrounds/background_01_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_01,,6,6,240,112
01_battle_backgrounds/background_02_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_02,,249,6,240,112
01_battle_backgrounds/background_03_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_03,,492,6,240,112
01_battle_backgrounds/background_04_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_04,,6,121,240,112
01_battle_backgrounds/background_05_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_05,,249,121,240,112
01_battle_backgrounds/background_06_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_06,,492,121,240,112
01_battle_backgrounds/background_07_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_07,,6,235,240,112
01_battle_backgrounds/background_08_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_08,,249,235,240,112
01_battle_backgrounds/background_09_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_09,,492,235,240,112
01_battle_backgrounds/background_10_240x112.png,battle_background,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - Battle Backgrounds(1).png,background_10,,6,349,240,112
02_battle_ui/01_hp_bar_small.png,ui_status,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,hp_bar_small,,3,3,100,29
02_battle_ui/02_hp_bar_large.png,ui_status,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,hp_bar_large,,3,44,104,37
02_battle_ui/03_hp_color_palette.png,ui_palette,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,hp_color_palette,,117,9,9,15
02_battle_ui/04_command_menu.png,ui_panel,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,command_menu,,146,4,120,48
02_battle_ui/05_upper_status_panels.png,ui_panel,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,upper_status_panels,,297,4,240,48
02_battle_ui/06_lower_status_panel.png,ui_panel,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,lower_status_panel,,297,56,240,48
02_battle_ui/07_red_cursor.png,ui_cursor,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,red_cursor,,544,59,10,6
02_battle_ui/08_party_markers_left.png,ui_markers,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,party_markers_left,,122,64,39,11
02_battle_ui/09_party_line_top.png,ui_markers,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,party_line_top,,177,64,105,16
02_battle_ui/10_party_line_bottom.png,ui_markers,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,party_line_bottom,,177,94,105,16
02_battle_ui/11_font_uppercase.png,font_sheet,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,font_uppercase,,4,85,158,68
02_battle_ui/12_font_lowercase.png,font_sheet,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,font_lowercase,,4,155,158,68
02_battle_ui/13_font_digits_symbols.png,font_sheet,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,font_digits_symbols,,4,225,158,68
02_battle_ui/14_inline_character_sets.png,font_sheet,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,inline_character_sets,,169,119,191,67
02_battle_ui/15_battle_scene_reference.png,battle_reference,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,battle_scene_reference,,370,111,240,160
02_battle_ui/16_battle_enemy_status.png,battle_part,Game Boy Advance - Pokemon FireRed _ LeafGreen - Battle Effects - HP Bars & In-battle Menu(1).png,battle_enemy_status,,383,126,96,32
